气 ? 	概  慨
? 饵 	犑  犗
? 方 	戊  戍
德 胜 头 ? 	迴  迥
? 劫 	冼  洗
百 ? 	祇  衹
? 竦 	袛  祗
螺 ? 	钹  䥽
铜 ? 	䥽  钹
? 太 君 	畲  畬
? 族 音 乐 	畬  畲
毛 ? 	薛  薜
? 服 	薜  薛
? 赢 	羸  赢
饿 ? 	赢  羸
? 谹 	祟  崇
魇 ? 	崇  祟
? 夺 	丏  丐
貣 ? 	丐  丏
蠹 ? 	毒  毐
铣 ? 	锒  银
? 样 镴 枪 	锒  银
風 ? 外 物 	塵  麈
犀 柄 ? 尾 	塵  麈
拂 ? 	汨  汩
淙 ? 	汨  汩
? 楚 寒 巫 	另  叧
释 ? 增 美 	囙  回
? 里 可 温 	也  乜
? 乜 些 些 	乜  也
余 ? 碌 碌 	子  孒
? 稾 	山  屮
余 切 ? 	丛  亼
? 簟 	玊  玉
? 躔 	炛  炎
? 遗 	孑  孓
匌 ? 	帀  币
奁 ? 	币  帀
? 帨 	帉  帄
? 首 	帉  帊
? 裱 	帇  帍
国 ? 	帑  帋
? 首 	帎  帓
? 舞 	帔  帗
绨 ? 	帙  帪
黼 ? 	帟  帚
? 幪 	帢  帡
? 鞲 	帠  帣
狎 ? 	帨  帢
? 鞴 	帤  帣
? 秽 	帣  帤
褵 ? 	帨  帩
? 头 	帨  帩
? 屐 	帪  帬
蜺 ? 	帱  帯
? 幪 	帲  帰
马 ? 	帹  帴
缞 ? 	帺  帻
? 輤 	帏  幁
相 ? 	幇  幋
? 幪 	幈  幉
衣 ? 	幏  幍
賨 ? 	幎  幏
赢 ? 	幑  幐
? 纚 	幓  幒
幖 ? 	幓  幖
缃 ? 	幙  帻
毳 ? 	幛  幙
? 幝 	幝  幜
松 ? 	驰  弛
脉 ? 	搏  博
精 ? 	萃  粹
? 碍 	防  妨
气 ? 	概  慨
粗 ? 	犷  旷
震 ? 	憾  撼
? 假 村 	渡  度
? 使 	即  既
? 望 	瞭  了
水 ? 头 	龙  笼
? 嗦 	啰  罗
沉 ? 	湎  缅
大 ? 指 	拇  姆
? 添 	平  凭
? 睐 	亲  青
发 ? 	韧  轫
? 品 	赝  膺
? 水 	蘸  醮
坐 ? 	镇  阵
沉 ? 	伦  沦
? 歉 	报  抱
? 歌 	讴  呕
附 ? 	合  和
导 ? 	至  致
接 ? 	恰  洽
赌 ? 	搏  博
就 ? 	序  绪
严 ? 	俊  峻
? 告 	诬  污
? 守 	客  恪
清 ? 	淅  晰
坦 ? 	诚  城
? 闷 	懑  愤
蔽 ? 	弊  病
? 临 	频  濒
? 慢 	怠  殆
? 健 	骄  矫
严 ? 	历  厉
商 ? 	榷  确
? 然 	即  既
? 护 	坦  袒
? 散 	焕  涣
视 ? 	察  查
? 迫 	协  胁
? 灭 	泯  抿
暮 ? 	霭  蔼
观 ? 	摩  摹
拖 ? 	沓  踏
? 子 	幌  晃
委 ? 	糜  靡
规 ? 	距  矩
? 击 	沮  狙
? 待 	急  亟
精 ? 	湛  堪
引 ? 	申  伸
? 关 	攸  优
? 化 	蜕  脱
证 ? 	卷  券
? 没 	覆  复
? 桑 	沧  苍
吞 ? 	筮  噬
污 ? 	秽  晦
? 默 	缄  减
? 赠 	溃  馈
? 意 	惬  箧
羞 ? 	婪  赧
阴 ? 	狸  霾
? 免 	赫  赦
? 信 	笃  独
? 息 	窒  桎
? 美 	毗  媲
别 ? 	树  墅
? 害 	遗  贻
汇 ? 	贿  赂
恶 ? 	诈  讹
整 ? 	饬  伤
造 ? 	指  诣
? 灾 	赈  振
? 重 	辎  淄
? 愿 	夙  素
邂 ? 	后  逅
污 ? 	垢  诟
徜 ? 	徉  佯
? 选 	遴  鳞
掖 ? 	揄  揶
切 ? 	磋  搓
? 嘘 	稀  唏
广 ? 	茅  袤
? 言 	谗  谄
彪 ? 	炳  柄
? 战 	熬  鏖
? 别 	栈  饯
? 色 	迅  逊
内 ? 	疚  柩
? 吝 	佞  奸
疮 ? 	胰  痍
推 ? 	存  荐
青 ? 	睐  徕
边 ? 	锤  陲
? 徊 	徘  排
沉 ? 	苛  疴
灰 ? 	赆  烬
帜 ? 	咫  尺
? 遢 	瘌  邋
? 视 	窥  睽
隔 ? 	阖  阂
弹 ? 	赅  劾
? 劲 	遒  逑
蓝 ? 	球  篮
蓟 ? 	手  棘
? 怪 	慎  嗔
? 密 	缜  镇
? 叹 	愧  喟
? 欠 	赊  奢
? 劳 	犒  槁
? 尔 	完  莞
鞭 ? 	搭  挞
干 ? 	锢  涸
? 疾 	故  痼
? 苒 	任  荏
? 别 	甑  甄
忌 ? 	讳  会
? 影 	倩  仟
懒 ? 	堕  惰
? 奖 	搬  颁
? 生 	孪  挛
? 装 	徉  佯
? 达 	活  豁
奇 ? 	琶  葩
? 计 	鬼  诡
休 ? 	栖  憩
? 幸 	侥  狡
? 张 	消  嚣
? 谈 	洽  恰
? 然 	暗  黯
? 亵 	猥  偎
枯 ? 	萎  委
? 临 	莅  位
? 难 	截  劫
? 怩 	忸  扭
? 毒 	茶  荼
? 躏 	蹂  揉
? 名 	匿  溺
? 落 	奚  溪
干 ? 	憋  瘪
篑 ? 	匮  乏
? 腆 	腼  湎
要 ? 	胁  挟
苦 ? 	涩  色
? 泣 	啜  辍
答 ? 	耷  拉
? 强 	呈  逞
? 害 	枪  戕
? 毁 	诋  抵
? 直 	哽  耿
余 ? 	悸  季
提 ? 	醐  醍
? 旗 	经  旌
? 然 	子  孑
诡 ? 	橘  谲
海 ? 	砍  侃
? 然 	磕  溘
窠 ? 	臼  旧
铿 ? 	镪  锵
傀 ? 	类  儡
? 落 	垒  磊
倥 ? 	偬  惚
联 ? 	决  袂
? 漏 	批  纰
? 贼 	蟊  毛
端 ? 	泥  倪
亲 ? 	呢  昵
? 爱 	溺  腻
地 ? 	痞  否
? 跷 	蹊  溪
? 长 	奇  颀
缱 ? 	绻  卷
? 长 	戎  冗
? 守 	斯  厮
情 ? 	素  愫
须 ? 	臾  余
握 ? 	旋  斡
? 乱 	紊  纹
笑 ? 	恹  靥
? 物 	赃  脏
双 ? 	奖  桨
白 ? 	塔  嗒
? 绕 	怀  环
红 ? 	强  墙
? 在 	洒  酒
? 快 	愉  偷
词 ? 	点  典
? 明 	聪  匆
? 日 	烈  列
波 ? 	滔  涛
? 边 	岸  崖
声 ? 	音  意
路 ? 	经  径
白 ? 	霜  双
停 ? 	泊  伯
? 愁 	秋  忧
? 市 	城  成
? 庙 	寺  侍
? 声 	中  钟
形 ? 	态  太
乳 ? 	支  汁
? 献 	俸  奉
身 ? 	休  体
运 ? 	愉  输
? 野 	荒  慌
发 ? 	斗  抖
? 烧 	燃  然
? 声 	铃  零
? 延 	棉  绵
? 子 	各  格
一 ? 	般  搬
命 ? 	令  今
? 处 	抄  妙
丝 ? 	线  钱
残 ? 	刃  忍
? 筑 	建  健
窗 ? 	帘  连
? 落 	将  降
沙 ? 	莫  漠
迷 ? 	惑  或
嘱 ? 	付  咐
? 球 	绒  戎
? 止 	仿  防
? 裕 	负  富
? 子 	卖  麦
急 ? 	伯  迫
? 问 	仿  访
? 然 	仍  乃
? 合 	昆  混
? 人 	巨  臣
? 子 	叉  又
? 人 	欢  砍
? 使 	既  即
? 掉 	扔  仍
? 子 	胡  湖
? 略 	侵  浸
打 ? 	丈  仗
? 练 	摩  磨
? 挡 	抵  低
? 人 	扑  仆
难 ? 	兔  免
? 论 	议  义
夫 ? 	妇  负
? 力 	努  驽
? 断 	珍  诊
分 ? 	析  折
? 开 	断  段
? 理 	管  官
? 果 	效  校
告 ? 	壮  状
深 ? 	浅  线
沐 ? 	浴  谷
? 本 	居  剧
? 彩 	青  精
面 ? 	临  监
米 ? 	粒  立
? 肩 	皮  披
? 树 	直  植
? 帽 	戴  带
? 乐 	秦  奏
? 出 	轴  抽
仿 ? 	弗  佛
? 至 	其  甚
? 开 	扒  八
闻 ? 	迅  讯
? 伍 	对  队
一 ? 	测  册
? 象 	硬  印
奇 ? 	迹  亦
煤 ? 	矿  广
? 挤 	拥  用
? 搏 	并  拼
? 负 	欺  期
? 纷 	分  纷
跟 ? 	踪  宗
智 ? 	彗  慧
? 回 	捞  劳
? 修 	维  谁
肥 ? 	沃  夭
局 ? 	势  执
? 失 	员  损
继 ? 	乘  承
维 ? 	待  持
描 ? 	术  述
? 遇 	竟  境
挖 ? 	坑  抗
? 此 	皮  彼
打 ? 	扮  份
一 ? 	陪  倍
搀 ? 	夫  扶
? 儿 	幻  幼
? 摘 	采  彩
回 ? 	亿  忆
? 过 	罪  非
应 ? 	该  孩
? 除 	废  费
兄 ? 	弟  第
? 驶 	架  驾
蜿 ? 	延  蜒
? 写 	普  谱
? 章 	扁  篇
? 缎 	周  绸
? 阔 	辽  了
岛 ? 	屿  与
资 ? 	原  源
? 示 	音  暗
乌 ? 	鬼  龟
? 山 	卢  庐
? 布 	暴  瀑
? 想 	幻  幼
? 乎 	以  似
? 回 	返  反
国 ? 	示  际
木 ? 	相  箱
咨 ? 	旬  询
? 到 	捡  拣
? 愁 	衰  哀
? 闲 	悠  攸
快 ? 	弟  递
? 下 	府  俯
? 误 	错  昔
? 弃 	舍  合
? 祸 	惹  若
? 区 	藏  臧
? 译 	翻  番
迷 ? 	糊  胡
? 望 	期  欺
? 物 	猎  错
? 查 	叔  督
文 ? 	章  张
? 目 	抖  科
? 杰 	豪  毫
? 住 	抓  爪
胡 ? 	须  需
? 虏 	浮  俘
莲 ? 	逢  蓬
篇 ? 	福  幅
舞 ? 	蹈  导
同 ? 	饱  胞
? 色 	系  紫
怀 ? 	疑  凝
? 对 	绝  决
关 ? 	闲  闭
海 ? 	欧  鸥
? 食 	偎  喂
? 度 	速  束
救 ? 	缓  援
? 放 	努  怒
? 害 	厉  历
? 叫 	吼  孔
? 计 	设  投
发 ? 	泻  泄
鱼 ? 	汤  烫
? 鱼 	掉  钓
? 把 	托  拖
? 来 	未  末
? 翠 	葱  怱
? 饿 	肌  饥
一 ? 	旦  曰
? 祥 	慈  兹
? 子 	蚊  文
结 ? 	构  够
反 ? 	夏  复
? 万 	亿  忆
? 步 	曼  漫
大 ? 	型  形
牙 ? 	齿  尺
? 首 	匕  七
? 语 	谜  迷
? 树 	槐  鬼
? 着 	夸  挎
? 时 	钝  顿
? 饭 	伴  拌
? 麻 	芝  之
? 短 	缩  宿
? 鱼 	甲  申
? 言 	禺  寓
? 急 	蕉  焦
? 发 	脖  勃
烧 ? 	考  烤
? 伴 	剖  陪
关 ? 	健  键
煮 ? 	孰  熟
味 ? 	道  到
? 轭 鼯 轩 	莸  狖
井 ? 不 食 	渫  楪
冬 ? 夏 裘 	箑  閷
匕 ? 不 惊 	嘑  鬯
? 颙 卬 卬 	颙  堣
? 迹 匿 光 	弥  弢
瞻 云 陟 ? 	屺  迄
息 黥 补 ? 	箅  劓
? 餗 之 患 	甦  餗
浞 ? 栗 斯 	訾  祡
栋 折 ? 崩 	嵟  榱
履 ? 交 错 	舄  埲
愆 德 ? 好 	嬱  隳
继 ? 焚 膏 	晷  鬏
管 窥 ? 测 	蠡  藜
草 剃 禽 ? 	弥  狝
偏 安 一 ? 	寓  隅
率 尔 操 ? 	觚  胍
? 路 蓝 缕 	芘  筚
方 ? 圆 凿 	衲  枘
? 灵 	曜  耀
霜 ? 	鸶  颸
妙 ? 	慲  鬘
虚 ? 	霩  廓
? 澌 	凌  淩
? 枯 	菀  莞
菡 ? 	箪  萏
? 冥 	窅  葽
毰 ? 	毸  毢
? 落 	滹  濩
? 峣 	苕  岧
? 灂 	瀺  瀍
姽 ? 	畵  婳
愔 ? 	兿  嫕
飒 ? 	纚  麗
? 俪 	蔘  棽
? 冤 	緸  湮
? 甲 	殍  莩
? 藻 	摛  黐
? 懔 	飱  憯
叆 ? 	叇  獃
? 缕 	覼  纙
? 洞 	浤  澒
? 霂 	䨪  霡
? 荚 	㝠  蓂
? 薇 	盥  泴
? 屯 	溝  遘
穆 ? 	忞  渂
? 舟 	潢  滉
? 举 	翀  㳞
懽 ? 鼓 舞 	忭  汴
姱 ? 	嫭  瓠
玼 ? 	纝  颣
排 ? 	鼇  奡
? 然 	蘧  麴
温 ? 	蘼  黁
? 蝀 	螮  敵
? 屑 	瞥  嫳
? 衮 	冁  瀍
? 羹 	嚺  嚃
竹 ? 	嘂  嘦
? 溜 	絲  噝
水 浊 鱼 ? 	兖  噞
柳 ? 花 娇 	垜  嚲
团 ? 	圝  銮
圐 ? 	圛  圙
? 埮 	壏  壈
顽 父 ? 母 	嚚  嚣
耆 寿 ? 老 	茍  耇
视 为 寇 ? 	雎  雠
? 埒 	壝  慳
梵 ? 	鞳  墖
壤 ? 	籴  埊
? 都 	奲  隳
遐 ? 	暨  亟
